,occupancy,sensor_name,co2,noise,humidity,temperature
2019-11-25 02:00:00+00:00,0,ROOM 4,464.1444396972656,48.635555267333984,42.55655415852865,20.954444885253906
2019-11-25 02:15:00+00:00,0,ROOM 4,462.38812255859375,48.644981384277344,42.60357793172201,20.961287180582683
2019-11-25 02:30:00+00:00,0,ROOM 4,462.7777811686198,50.34999974568685,42.43122227986654,21.04088846842448
2019-11-25 02:45:00+00:00,0,ROOM 4,466.1888834635417,51.174444834391274,41.72488784790039,21.389222462972004
2019-11-25 03:00:00+00:00,0,ROOM 4,462.7804667154948,51.12555440266927,41.43677775065104,21.52988878885905
2019-11-25 03:15:00+00:00,0,ROOM 4,460.7333272298177,51.09540303548177,41.28151067097982,21.61282730102539
2019-11-25 03:30:00+00:00,0,ROOM 4,456.25555419921875,50.243333180745445,41.32444381713867,21.60522206624349
2019-11-25 03:45:00+00:00,0,ROOM 4,456.3222249348958,48.942221323649086,41.91222254435221,21.319555918375652
2019-11-25 04:00:00+00:00,0,ROOM 4,457.55211385091144,48.81919606526693,42.28944524129232,21.141961415608723
2019-11-25 04:15:00+00:00,0,ROOM 4,455.41111246744794,48.838888804117836,42.499777475992836,21.04222234090169
2019-11-25 04:30:00+00:00,0,ROOM 4,460.3333333333333,48.81999969482422,42.59744389851888,20.994444529215496
2019-11-25 04:45:00+00:00,0,ROOM 4,456.7724100748698,48.93019104003906,42.61354446411133,20.995754877726238
2019-11-25 05:00:00+00:00,0,ROOM 4,454.3444519042969,48.94888814290365,42.693888346354164,20.965110778808594
2019-11-25 05:15:00+00:00,0,ROOM 4,455.3666585286458,49.11666615804037,42.68255615234375,20.96666653951009
2019-11-25 05:30:00+00:00,0,ROOM 4,455.5130310058594,51.56999969482422,42.73577880859375,20.91866620381673
2019-11-25 05:45:00+00:00,0,ROOM 4,450.8555501302083,51.950574239095054,42.25278854370117,20.95643679300944
2019-11-25 06:00:00+00:00,0,ROOM 4,448.1000061035156,52.681111653645836,40.90277862548828,21.181111653645832
2019-11-25 06:15:00+00:00,0,ROOM 4,449.04444376627606,54.13111241658529,40.43777847290039,21.379889170328777
2019-11-25 06:30:00+00:00,0,ROOM 4,452.38161214192706,54.374368031819664,40.18427658081055,21.352019627888996
2019-11-25 06:45:00+00:00,0,ROOM 4,448.42222086588544,54.825555165608726,39.98011144002279,21.431556065877277
2019-11-25 07:00:00+00:00,0,ROOM 4,444.62221272786456,54.197776794433594,39.89533360799154,21.543888727823894
2019-11-25 07:15:00+00:00,0,ROOM 4,449.8386942545573,53.78888956705729,39.85477828979492,21.498666763305664
2019-11-25 07:30:00+00:00,0,ROOM 4,440.477783203125,54.51003774007162,39.89106877644857,21.548072814941406
2019-11-25 07:45:00+00:00,0,ROOM 4,449.0111083984375,53.26555633544922,40.23711140950521,21.44433339436849
2019-11-25 08:00:00+00:00,0,ROOM 4,445.07776896158856,53.10777791341146,40.332777659098305,21.549333572387695
2019-11-25 08:15:00+00:00,0,ROOM 4,444.1118876139323,52.61869684855143,40.969547271728516,21.356299082438152
2019-11-25 08:30:00+00:00,0,ROOM 4,449.3111063639323,52.916666666666664,41.25599924723307,21.424889246622723
2019-11-25 08:45:00+00:00,0,ROOM 4,450.1333414713542,52.49444325764974,41.62666702270508,21.429667154947918
2019-11-25 09:00:00+00:00,0,ROOM 4,455.9647521972656,57.95628356933594,42.216512044270836,21.599714914957683
2019-11-25 09:15:00+00:00,0,ROOM 4,478.3111165364583,59.41888936360677,44.22499974568685,21.898555119832356
2019-11-25 09:30:00+00:00,0,ROOM 4,495.0888977050781,63.32888921101888,45.01377868652344,22.181999842325848
2019-11-25 09:45:00+00:00,0,ROOM 4,578.514404296875,59.460000356038414,45.282222747802734,22.279778162638348
2019-11-25 10:00:00+00:00,4,ROOM 4,920.522216796875,56.74486541748047,44.305981953938804,22.1770076751709
2019-11-25 10:15:00+00:00,5,ROOM 4,1098.1888834635417,53.04111099243164,43.07777786254883,21.80911127726237
2019-11-25 10:30:00+00:00,5,ROOM 4,1183.9111328125,52.632222493489586,42.868001302083336,21.742778142293293
2019-11-25 10:45:00+00:00,5,ROOM 4,990.4153238932291,53.11773935953776,42.73188145955404,21.87262789408366
2019-11-25 11:00:00+00:00,1,ROOM 4,663.2666829427084,55.77012252807617,42.78646977742513,21.91150665283203
2019-11-25 11:15:00+00:00,0,ROOM 4,559.2444458007812,58.735555013020836,42.86466725667318,22.02199935913086
2019-11-25 11:30:00+00:00,0,ROOM 4,563.4678344726562,57.31000010172526,43.37811152140299,21.914443969726562
2019-11-25 11:45:00+00:00,0,ROOM 4,564.0654296875,56.38685735066732,44.272257486979164,21.808866500854492
2019-11-25 12:00:00+00:00,0,ROOM 4,585.2555745442709,56.07999928792318,44.399889628092446,21.84066645304362
2019-11-25 12:15:00+00:00,0,ROOM 4,600.9444376627604,55.217777252197266,44.18777720133463,21.958333333333332
2019-11-25 12:30:00+00:00,2,ROOM 4,693.5904134114584,53.15409851074219,44.19310760498047,21.978103637695312
2019-11-25 12:45:00+00:00,2,ROOM 4,737.95556640625,55.48126347859701,43.98196919759115,22.01934878031413
2019-11-25 13:00:00+00:00,2,ROOM 4,762.8777669270834,56.15394083658854,43.40696716308594,22.140209197998047
2019-11-25 13:15:00+00:00,2,ROOM 4,770.7076822916666,54.18888854980469,43.04877853393555,22.124555587768555
2019-11-25 13:30:00+00:00,2,ROOM 4,759.6099446614584,56.43120574951172,42.46157709757487,22.13907241821289
2019-11-25 13:45:00+00:00,2,ROOM 4,772.0566609700521,56.418888092041016,42.19466654459635,22.07355562845866
2019-11-25 14:00:00+00:00,2,ROOM 4,776.7111002604166,53.032222747802734,42.17911148071289,21.85277811686198
2019-11-25 14:15:00+00:00,2,ROOM 4,741.9681396484375,61.23302714029948,42.059444427490234,21.784440994262695
2019-11-25 14:30:00+00:00,2,ROOM 4,659.9777628580729,52.36111068725586,41.90733337402344,21.734333038330078
2019-11-25 14:45:00+00:00,1,ROOM 4,603.54443359375,53.10666529337565,41.91722106933594,21.76888910929362
2019-11-25 15:00:00+00:00,1,ROOM 4,586.0842692057291,53.60371653238932,42.075539906819664,21.79825719197591
2019-11-25 15:15:00+00:00,1,ROOM 4,571.0333455403646,53.966495513916016,41.89623133341471,21.822333017985027
2019-11-25 15:30:00+00:00,0,ROOM 4,553.8999837239584,59.02086385091146,42.385704040527344,21.8467534383138
2019-11-25 15:45:00+00:00,0,ROOM 4,589.5432942708334,55.01222229003906,42.35756301879883,21.71821467081706
2019-11-25 16:00:00+00:00,0,ROOM 4,589.049560546875,50.82886759440104,41.93767293294271,21.54912821451823
2019-11-25 16:15:00+00:00,0,ROOM 4,658.6296183268229,50.53666687011719,41.56566619873047,21.70799954732259
2019-11-25 16:30:00+00:00,1,ROOM 4,653.2310384114584,50.59000015258789,41.36644490559896,21.893110911051433
2019-11-25 16:45:00+00:00,0,ROOM 4,558.3342692057291,54.59563191731771,41.297122955322266,22.046153386433918
2019-11-25 17:00:00+00:00,0,ROOM 4,516.6222330729166,53.58515930175781,41.86087290445963,21.924531936645508
2019-11-25 17:15:00+00:00,0,ROOM 4,517.2333374023438,50.85777791341146,42.229443868001304,21.78155517578125
2019-11-25 17:30:00+00:00,0,ROOM 4,525.3364054361979,55.10629526774088,42.33593877156576,21.77786382039388
2019-11-25 17:45:00+00:00,2,ROOM 4,585.9365030924479,52.78827158610026,42.36530049641927,21.833921432495117
2019-11-25 18:00:00+00:00,2,ROOM 4,629.4666748046875,51.137779235839844,42.401110331217446,21.71666653951009
2019-11-25 18:15:00+00:00,2,ROOM 4,653.8444417317709,52.76222356160482,42.16011047363281,21.600444157918293
2019-11-25 18:30:00+00:00,2,ROOM 4,687.9658813476562,52.36080423990885,41.65388870239258,21.57794253031413
2019-11-25 18:45:00+00:00,2,ROOM 4,672.3222249348959,52.11394500732422,41.38970438639323,21.755732854207356
2019-11-25 19:00:00+00:00,2,ROOM 4,602.8777872721354,52.323333740234375,41.19277699788412,21.8733336130778
2019-11-25 19:15:00+00:00,0,ROOM 4,509.8030497233073,52.36111068725586,41.03333282470703,21.900222142537434
2019-11-25 19:30:00+00:00,0,ROOM 4,492.83226521809894,50.256666819254555,41.35651779174805,21.744245529174805
2019-11-25 19:45:00+00:00,0,ROOM 4,487.6444498697917,50.30551783243815,41.93304570515951,21.489003499348957
2019-11-25 20:00:00+00:00,0,ROOM 4,472.45555623372394,50.08666737874349,42.2565549214681,21.364221572875977
2019-11-25 20:15:00+00:00,0,ROOM 4,464.2302754720052,50.41444524129232,42.40144475301107,21.282000223795574
