;occupancy;co2;noise;humidity;temperature;room
2019-11-22 18:30:00+00:00;0;528,4513448;52,37904231;39,79269536;21,57515526;5
2019-11-22 19:00:00+00:00;0;523,6969401;48,99611092;40,03766632;21,48805586;5
2019-11-22 19:30:00+00:00;0;506,3791707;48,40973091;40,1772569;21,48230839;5
2019-11-22 20:00:00+00:00;0;483,072993;48,50927226;40,19235865;21,530358;5
2019-11-22 20:30:00+00:00;0;469,122228;48,29611079;40,47411092;21,45977751;5
2019-11-22 21:00:00+00:00;0;460,6614939;48,29908752;40,43725713;21,47127755;5
2019-11-22 21:30:00+00:00;0;452,3948313;48,30447769;40,42616971;21,4281861;5
2019-11-22 22:00:00+00:00;0;450,5833282;48,18895086;40,52214114;21,38146337;5
2019-11-22 22:30:00+00:00;0;445,4218292;48,16003799;40,69146919;21,35394828;5
2019-11-22 23:00:00+00:00;0;444,4790344;48,23282878;40,76503245;21,34921201;5
2019-11-22 23:30:00+00:00;0;439,2080282;48,2033418;40,87097549;21,32505322;5
2019-11-25 00:00:00+00:00;0;457,8674316;48,50388845;42,82650057;21,02227783;5
2019-11-25 00:30:00+00:00;0;456,5603129;48,45697212;42,92091751;20,9918836;5
2019-11-25 01:00:00+00:00;0;457,9287364;48,47810364;42,93620745;20,99808407;5
2019-11-25 01:30:00+00:00;0;455,4166667;48,46277809;42,96388944;20,9975001;5
2019-11-25 02:00:00+00:00;0;458,4249064;48,45821826;43,02467601;20,98833338;5
2019-11-25 02:30:00+00:00;0;454,4714559;48,51277733;43,20388858;20,92655563;5
2019-11-25 03:00:00+00:00;0;456,4833323;48,5307471;43,17014186;20,95361678;5
2019-11-25 03:30:00+00:00;0;455,3051707;48,50111071;43,32005628;20,90711117;5
2019-11-25 04:00:00+00:00;0;455,627772;48,48383077;43,32739703;20,91747506;5
2019-11-25 04:30:00+00:00;0;451,4348704;48,46113078;43,34712474;20,91017246;5
2019-11-25 05:00:00+00:00;0;450,8444417;48,47201093;43,39850489;20,8849926;5
2019-11-25 05:30:00+00:00;0;452,1147512;50,28432973;42,96002324;20,86023362;5
2019-11-25 06:00:00+00:00;0;450,6011556;51,31536484;41,30245399;21,25753689;5
2019-11-25 06:30:00+00:00;0;448,7841034;51,39250946;40,4158783;21,52146371;5
2019-11-25 07:00:00+00:00;0;446,1963603;51,41908073;40,15919813;21,62773927;5
2019-11-25 07:30:00+00:00;0;441,5032552;51,23555565;40,51516724;21,5477225;5
